iso639_2	english_name
qch	Giiwo
qci	Kubi
qcj	Maaka
qck	Ɓeele
qcl	Daza
qcm	Pali
qcn	South Tangale
qco	Kwaami
qcp	Pero
qcq	Piya-Kwonci
qcr	Kholok
qcs	Nyam
qct	Kushi
qcu	Kutto
qcv	Angas Group
qcw	Ngasic
qcx	Belnəng
qcy	Mwaghavulic
qcz	Mupun
qda	Takas
qdb	Cakfem-Mushere
qdc	Miship
qdd	Pan Cluster
qde	Chakato/Jorto
qdf	Jipal
qdg	Mernyang
qdh	Kwagallak
qdi	Kofyar
qdj	Bwol
qdk	Goram
qdl	Jibyal
qdm	Nteng
qdn	Tel
qdo	Talic
qdp	Tal
qdq	Pyapun
qdr	Koenoem
qds	Goemaic
qdt	Goemai
qdu	Yiwom
qdv	Ron Group
qdw	Fyer
qdx	Tambas
qdy	Shagawu
qdz	Duhwa
qea	Kulere
qeb	Mundat
qec	Sha
qed	Bade-Warji
qee	Bade Group
qef	Duwai
qeg	Shira
qeh	Teshenawa
qei	Auyokawa
qej	Warji Group
qek	Pa'a
qel	Diri
qem	Ciwogai
qen	Kariya
qeo	Mburku
qep	Siri
qeq	Zumbun
qer	Ajawa
qes	Barawa
qet	Zaar Group
qeu	Dass
qev	Geji
qew	Polci
qex	Zari
qey	Zeem
qez	Guruntum Group
qfa	Guruntum-Mbaaru
qfb	Ju
qfc	Tala
qfd	Zangwal
qfe	Boghom Group
qff	Jimi
qfg	Jum
qfh	Kir-Balar
qfi	Mangas
qfj	Central Chadic
qfk	South Central
qfl	Bata Group
qfm	Bata Proper
qfn	Fali
qfo	Gude
qfp	Gudu
qfq	Holma
qfr	Jimi (A.8)
qfs	Ngwaba
qft	Nzanyi
qfu	Sharwa
qfv	Tsuvan Group
qfw	Tsuvan
qfx	Zizilivakan
qfy	Daba Group
qfz	Daba Proper
qga	Mazagway Hidi
qgb	Mina Group
qgc	Mina
qgd	Mbudum
qge	Buwal Group
qgf	Buwal
qgg	Gavar
qgh	Mafa Group
qgi	Mefele
qgj	Cuvok
qgk	Tera Group
qgl	East Tera
qgm	Boga
qgn	Ga'anda
qgo	Hwana
qgp	West Tera
qgq	Jara
qgr	Hurza Group
qgs	Vame
qgt	Mbuko
qgu	North Central
qgv	Margi-Mandara-Mofu
qgw	Margi Group
qgx	Bura Group
qgy	Cibak
qgz	Putai
qha	Nggwahyi
qhb	Margi Proper
qhc	Kilba
qhd	Margi South
qhe	Mandara Group
qhf	Wandala
qhg	Glavda
qhh	Dghwede Group
qhi	Cineni
qhj	Dghwede
qhk	Guduf
qhl	Gava
qhm	Gvoko
qhn	Podoko Group
qho	Matal
qhp	Mofu Group
qhq	Tokombere
qhr	Ouldeme
qhs	Mada
qht	Muyang
qhu	Molokwo
qhv	Meri Group
qhw	Zulgo
qhx	Gemzek
qhy	Merey
qhz	Dugwor
qia	Mofu Proper
qib	Mofu North
qic	Maroua Group
qid	Giziga North
qie	Giziga South
qif	Mbazla
qig	Lamang Group
qih	Hdi
qii	Mabas
qij	Higi Group
qik	Bana
qil	Hya
qim	Psikyɛ
qin	Kirya-Konzel
qio	Musgum-Kotoko Group
qip	Kotoko Island
qiq	Kotoko North
qir	Mpade
qis	Malgbe
qit	Maltam
qiu	Musgum Group
qiv	Mbara
qiw	Muskum
qix	Kotoko Centre
qiy	Lagwan
qiz	Mser
qja	Kotoko South
qjb	Zina
qjc	Mazera
qjd	Libyco-Berber (Ancient)
qje	Eastern Berber
qjf	Awjila-Sokna Group
qjg	Western Berber
qjh	Southern Berber
qji	Northern Berber
qjj	Atlas Berber
qjk	Ghomara-Senhaja Group
qjl	Zenati
qjm	Mzab-Wargla Group
qjn	East Zenati Group
qjo	Western Aramaic
qjp	Reserved for local use
qjq	Reserved for local use
qjr	Reserved for local use
qjs	Reserved for local use
qjt	Reserved for local use
qju	Reserved for local use
qjv	Reserved for local use
qjw	Reserved for local use
qjx	Reserved for local use
qjy	Reserved for local use
qjz	Reserved for local use
qka	Reserved for local use
qkb	Reserved for local use
qkc	Reserved for local use
qkd	Reserved for local use
qke	Reserved for local use
qkf	Reserved for local use
qkg	Reserved for local use
qkh	Reserved for local use
qki	Reserved for local use
qkj	Reserved for local use
qkk	Reserved for local use
qkl	Reserved for local use
qkm	Reserved for local use
qkn	Reserved for local use
qko	Reserved for local use
qkp	Reserved for local use
qkq	Reserved for local use
qkr	Reserved for local use
qks	Reserved for local use
qkt	Reserved for local use
qku	Reserved for local use
qkv	Reserved for local use
qkw	Reserved for local use
qkx	Reserved for local use
qky	Reserved for local use
qkz	Reserved for local use
qla	Reserved for local use
qlb	Reserved for local use
qlc	Reserved for local use
qld	Reserved for local use
qle	Reserved for local use
qlf	Reserved for local use
qlg	Reserved for local use
qlh	Reserved for local use
qli	Reserved for local use
qlj	Reserved for local use
qlk	Reserved for local use
qll	Reserved for local use
qlm	Reserved for local use
qln	Reserved for local use
qlo	Reserved for local use
qlp	Reserved for local use
qlq	Reserved for local use
qlr	Reserved for local use
qls	Reserved for local use
qlt	Reserved for local use
qlu	Reserved for local use
qlv	Reserved for local use
qlw	Reserved for local use
qlx	Reserved for local use
qly	Reserved for local use
qlz	Reserved for local use
qma	Reserved for local use
qmb	Reserved for local use
qmc	Reserved for local use
qmd	Reserved for local use
qme	Reserved for local use
qmf	Reserved for local use
qmg	Reserved for local use
qmh	Reserved for local use
qmi	Reserved for local use
qmj	Reserved for local use
qmk	Reserved for local use
qml	Reserved for local use
qmm	Reserved for local use
qmn	Reserved for local use
qmo	Reserved for local use
qmp	Reserved for local use
qmq	Reserved for local use
qmr	Reserved for local use
qms	Reserved for local use
qmt	Reserved for local use
qmu	Reserved for local use
qmv	Reserved for local use
qmw	Reserved for local use
qmx	Reserved for local use
qmy	Reserved for local use
qmz	Reserved for local use
qna	Reserved for local use
qnb	Reserved for local use
qnc	Reserved for local use
qnd	Reserved for local use
qne	Reserved for local use
qnf	Reserved for local use
qng	Reserved for local use
qnh	Reserved for local use
qni	Reserved for local use
qnj	Reserved for local use
qnk	Reserved for local use
qnl	Reserved for local use
qnm	Reserved for local use
qnn	Reserved for local use
qno	Reserved for local use
qnp	Reserved for local use
qnq	Reserved for local use
qnr	Reserved for local use
qns	Reserved for local use
qnt	Reserved for local use
qnu	Reserved for local use
qnv	Reserved for local use
qnw	Reserved for local use
qnx	Reserved for local use
qny	Reserved for local use
qnz	Reserved for local use
qoa	Reserved for local use
qob	Reserved for local use
qoc	Reserved for local use
qod	Reserved for local use
qoe	Reserved for local use
qof	Reserved for local use
qog	Reserved for local use
qoh	Reserved for local use
qoi	Reserved for local use
qoj	Reserved for local use
qok	Reserved for local use
qol	Reserved for local use
qom	Reserved for local use
qon	Reserved for local use
qoo	Reserved for local use
qop	Reserved for local use
qoq	Reserved for local use
qor	Reserved for local use
qos	Reserved for local use
qot	Reserved for local use
qou	Reserved for local use
qov	Reserved for local use
qow	Reserved for local use
qox	Reserved for local use
qoy	Reserved for local use
qoz	Reserved for local use
qpa	Reserved for local use
qpb	Reserved for local use
qpc	Reserved for local use
qpd	Reserved for local use
qpe	Reserved for local use
qpf	Reserved for local use
qpg	Reserved for local use
qph	Reserved for local use
qpi	Reserved for local use
qpj	Reserved for local use
qpk	Reserved for local use
qpl	Reserved for local use
qpm	Reserved for local use
qpn	Reserved for local use
qpo	Reserved for local use
qpp	Reserved for local use
qpq	Reserved for local use
qpr	Reserved for local use
qps	Reserved for local use
qpt	Reserved for local use
qpu	Reserved for local use
qpv	Reserved for local use
qpw	Reserved for local use
qpx	Reserved for local use
qpy	Reserved for local use
qpz	Reserved for local use
qqa	Reserved for local use
qqb	Reserved for local use
qqc	Reserved for local use
qqd	Reserved for local use
qqe	Reserved for local use
qqf	Reserved for local use
qqg	Reserved for local use
qqh	Reserved for local use
qqi	Reserved for local use
qqj	Reserved for local use
qqk	Reserved for local use
qql	Reserved for local use
qqm	Reserved for local use
qqn	Reserved for local use
qqo	Reserved for local use
qqp	Reserved for local use
qqq	Reserved for local use
qqr	Reserved for local use
qqs	Reserved for local use
qqt	Reserved for local use
qqu	Reserved for local use
qqv	Reserved for local use
qqw	Reserved for local use
qqx	Reserved for local use
qqy	Reserved for local use
qqz	Reserved for local use
qra	Reserved for local use
qrb	Reserved for local use
qrc	Reserved for local use
qrd	Reserved for local use
qre	Reserved for local use
qrf	Reserved for local use
qrg	Reserved for local use
qrh	Reserved for local use
qri	Reserved for local use
qrj	Reserved for local use
qrk	Reserved for local use
qrl	Reserved for local use
qrm	Reserved for local use
qrn	Reserved for local use
qro	Reserved for local use
qrp	Reserved for local use
qrq	Reserved for local use
qrr	Reserved for local use
qrs	Reserved for local use
qrt	Reserved for local use
qru	Reserved for local use
qrv	Reserved for local use
qrw	Reserved for local use
qrx	Reserved for local use
qry	Reserved for local use
qrz	Reserved for local use
qsa	Reserved for local use
qsb	Reserved for local use
qsc	Reserved for local use
qsd	Reserved for local use
qse	Reserved for local use
qsf	Reserved for local use
qsg	Reserved for local use
qsh	Reserved for local use
qsi	Reserved for local use
qsj	Reserved for local use
qsk	Reserved for local use
qsl	Reserved for local use
qsm	Reserved for local use
qsn	Reserved for local use
qso	Reserved for local use
qsp	Reserved for local use
qsq	Reserved for local use
qsr	Reserved for local use
qss	Reserved for local use
qst	Reserved for local use
qsu	Reserved for local use
qsv	Reserved for local use
qsw	Reserved for local use
qsx	Reserved for local use
qsy	Reserved for local use
qsz	Reserved for local use
qta	Reserved for local use
qtb	Reserved for local use
qtc	Reserved for local use
qtd	Reserved for local use
qte	Reserved for local use
qtf	Reserved for local use
qtg	Reserved for local use
qth	Reserved for local use
qti	Reserved for local use
qtj	Reserved for local use
qtk	Reserved for local use
qtl	Reserved for local use
qtm	Reserved for local use
qtn	Reserved for local use
qto	Reserved for local use
qtp	Reserved for local use
qtq	Reserved for local use
qtr	Reserved for local use
qts	Reserved for local use
qtt	Reserved for local use
qtu	Reserved for local use
qtv	Reserved for local use
qtw	Reserved for local use
qtx	Reserved for local use
qty	Reserved for local use
qtz	Reserved for local use
que	Quechua
raj	Rajasthani
rap	Rapanui
rar	Rarotongan
roa	Romance languages
roh	Romansh
rom	Romany
rum	"Romanian
Moldavian
Moldovan"
run	Rundi
rup	Aromanian
rus	Russian
sad	Sandawe
sag	Sango
sah	Yakut
sai	South American Indian languages
sal	Salishan languages
sam	Samaritan Aramaic
san	Sanskrit
sas	Sasak
sat	Santali
scn	Sicilian
sco	Scots
sel	Selkup
sem	Semitic languages
sga	Irish, Old (to 900)
sgn	Sign Languages
shn	Shan
sid	Sidamo
sin	"Sinhala
Sinhalese"
sio	Siouan languages
sit	Sino-Tibetan languages
sla	Slavic languages
slo	Slovak
slv	Slovenian
sma	Southern Sami
sme	Northern Sami
smi	Sami languages
smj	Lule Sami
smn	Inari Sami
smo	Samoan
sms	Skolt Sami
sna	Shona
snd	Sindhi
snk	Soninke
sog	Sogdian
som	Somali
son	Songhai languages
sot	Southern Sotho
spa	"Spanish
Castilian"
srd	Sardinian
srn	Sranan Tongo
srp	Serbian
srr	Serer
ssa	Nilo-Saharan languages
ssw	Swati
suk	Sukuma
sun	Sundanese
sus	Susu
sux	Sumerian
swa	Swahili (macrolanguage)
swe	Swedish
syc	Classical Syriac
syr	Syriac
tah	Tahitian
tai	Tai languages
tam	Tamil
tat	Tatar
tel	Telugu
tem	Timne
ter	Tereno
tet	Tetum
tgk	Tajik
tgl	Tagalog
tha	Thai
tib	Tibetan
tig	Tigre
tir	Tigrinya
tiv	Tiv
tkl	Tokelau
tlh	Klingon
tli	Tlingit
tmh	Tamashek
tog	Tonga (Nyasa)
ton	Tonga (Tonga Islands)
tpi	Tok Pisin
tsi	Tsimshian
tsn	Tswana
tso	Tsonga
tuk	Turkmen
tum	Tumbuka
tup	Tupi languages
tur	Turkish
tut	Altaic languages
tvl	Tuvalu
twi	Twi
tyv	Tuvinian
udm	Udmurt
uga	Ugaritic
uig	"Uighur
Uyghur"
ukr	Ukrainian
umb	Umbundu
und	Undetermined
urd	Urdu
uzb	Uzbek
vai	Vai
ven	Venda
vie	Vietnamese
vol	Volapük
vot	Votic
wak	Wakashan languages
wal	Wolaitta
war	Waray
was	Washo
wel	Welsh
wen	Sorbian languages
wln	Walloon
wol	Wolof
xal	Kalmyk
xho	Xhosa
yao	Yao
yap	Yapese
yid	Yiddish
yor	Yoruba
ypk	Yupik languages
zap	Zapotec
zbl	Blissymbols
zen	Zenaga
zgh	Standard Moroccan Tamazight
zha	"Zhuang
Chuang"
znd	Zande languages
zul	Zulu
zun	Zuni
zxx	"No linguistic content
Not applicable"
zza	"Zaza
Dimili
Dimli (macrolanguage)
Kirdki
Kirmanjki (macrolanguage)
Zazaki"
